#Select Statistics Per TCE From the Data Validation XML Files
#Mission = TESS
#Search = tess2018206190142
#Sectors = s0001-s0001
#Created Date = 2018-11-14
#
tceid,ticid,planetNumber,planetCandidateCount,starTeffKelvin,starLoggCgs,orbitalPeriodDays,orbitalPeriodDays_err,planetRadiusEarthRadii,planetRadiusEarthRadii_err,ratioPlanetRadiusToStarRadius,ratioSemiMajorAxisToStarRadius,semiMajorAxisAu,starRadiusSolarRadii,transitDepthPpm,transitDepthPpm_err,transitDurationHours,transitEpochBtjd,transitEpochBtjd_err,transitIngressTimeHours,minImpactParameter,ws_mes,ws_mesphase,expectedtransitcount,chiSquare2,mes,maxses,equilibriumTempKelvin,InsolationFlux
00141809359-01,141809359,1,2,4695,4.53314,12.1572,0.000253802,30.7538,7.50018,0.362817,19.9001,0.09408,0.776443,72259.7,459.834,4.71095,1328.1,0.000328014,2.35547,0.917275,42.9995,7.88333,3,61.9523,197.729,119.579,595.16,29.6521
00141809359-02,141809359,2,2,4695,4.53314,12.1678,0.00245303,18.6915,13.358,0.220512,14.0069,0.0941349,0.776443,21936,488.436,4.90271,1335.96,0.00120364,2.45136,0.973152,3.00314,8.65138,2,0.00868,47.092,36.4983,594.986,29.6175
00141865875-01,141865875,1,3,7365,4.438,0.223117,1.69997e-005,2.37661,0.712639,0.0116737,3.1528,0.0109129,1.86486,146.8,18.7334,0.486701,1325.4,0.000619316,0.00771056,0.505033,8.58501,0.08854,125,94.9925,8.40376,2.87767,4248.32,76981.9
00141865875-02,141865875,2,3,7365,4.438,0.223115,1.18716e-005,3.18305,0.970214,0.0156349,2.15771,0.0109129,1.86486,223.534,27.4834,0.417961,1325.45,0.000777127,0.0316063,0.896965,5.74586,0.08673,125,111.449,8.03735,3.59698,4248.33,76982.9
00141865875-03,141865875,3,3,7365,4.438,0.223066,1.18072e-005,3.30045,1.36954,0.0162116,2.4866,0.0109113,1.86486,270.353,25.5514,0.535589,1325.5,0.00183571,0.0169698,0.698881,4.54704,0.09594,125,71.9991,10.1434,3.50938,4248.64,77005.6
00141914082-01,141914082,1,1,4260,4.438,11.4701,0.00519132,13.9525,17.2315,0.131585,8.11729,0.0976698,0.971274,6032.88,9772.79,5.76512,1330.27,0.00538125,2.88256,0.999998,5.6522,2.51528,3,109.047,21.6589,25.0357,592.778,29.1803
00142148228-01,142148228,1,3,6583,3.8023,0.780585,1.00322e-005,30.2216,6.98582,0.113709,2.12102,0.0184424,2.43457,5058.34,68.8397,1.58292,1325.32,0.00020193,0.791462,0.999761,4.457,-0.15979,36,429.552,104.176,24.0325,3337.48,29322.1
00142148228-02,142148228,2,3,6583,3.8023,1.56226,0.000148341,6.22259,5.49761,0.0234124,32.5941,0.0292891,2.43457,620.039,84.3326,0.374355,1326.76,0.00103686,0.00858748,0.0498014,8.79907,-0.06146,17,38.8526,11.5298,7.17586,2648.34,11625.6
00142148228-03,142148228,3,3,6583,3.8023,20.2855,0.00450832,11.3835,1.94228,0.0428303,30.7371,0.161806,2.43457,1739.64,299.952,3.04228,1328.24,0.00238923,0.414752,0.850712,3.45251,-0.38333,2,4.83932,9.36016,8.80084,1126.76,380.927
00143822655-01,143822655,1,1,6127,4.36791,11.9657,0.00133855,10.3022,2.36707,0.0808575,90.3652,0.107602,1.1671,7539.73,565.905,1.09331,1336.97,0.000558807,0.0818054,0.013156,4.6676,-0.59722,2,89.9974,17.4538,19.2652,890.395,148.543
